# Version 2
# List the overlaps with next data (skipping last few frames)
# negative number means there's gap between current and next folder
# will only use latest dataset for duplicated data
# frames_overlaps total_frames_w/_overlaps folder_path
0 24 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_10_20_014851/
1 18 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_10_22_003510/
1 25 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_10_22_130613/
1 25 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_10_23_013804/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_10_23_140824/
1 25 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_10_24_151305/
0 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_10_26_205835/
1 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_10_27_093105/
1 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_10_28_032303/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_10_29_000829/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_10_29_162751/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_10_31_164152/
1 24 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_01_051428/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_01_174559/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_02_051813/
1 28 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_02_174933/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_03_174015/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_04_061234/
1 28 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_04_184423/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_05_071524/
1 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_05_194737/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_06_081821/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_07_095411/
1 28 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_08_035201/
1 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_08_162423/
0 18 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_09_045706/
1 11 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_09_172938/
0 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_10_060033/
1 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_11_053731/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_12_023724/
1 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_12_223323/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_13_110505/
1 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_14_010925/
1 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_14_134256/
1 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_15_021403/
1 25 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_15_235520/
1 25 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_16_122638/
1 25 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_17_033120/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_17_160457/
1 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_18_043602/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_18_170718/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_19_053846/
1 27 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_20_011601/
1 24 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_20_135231/
1 24 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_21_053531/
1 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_22_010114/
1 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_22_183107/
1 28 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_23_070154/
0 24 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_23_193251/
1 25 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_24_080358/
1 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_24_203520/
1 26 /anvil/scratch/x-colson1/abid_bot_sol_01_v2/h5data/3d_data_25_11_25_151411/
