# Version 2
# List the overlaps with next data (skipping last few frames)
# negative number means there's gap between current and next folder
# will only use latest dataset for duplicated data
# frames_overlaps total_frames_w/_overlaps folder_path
0 7 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_08_082738/
3 26 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_09_012802/
3 26 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_09_153013/
4 28 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_10_043456/
3 28 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_11_174849/
3 28 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_12_090733/
3 29 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_13_060300/
3 27 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_14_074801/
3 28 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_14_201907/
9 34 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_15_132043/
3 28 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_16_015122/
4 29 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_16_142213/
3 29 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_17_025306/
4 29 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_17_152408/
4 30 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_18_035514/
3 29 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_19_045726/
4 29 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_22_153119/
3 29 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_26_023247/
3 28 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_29_123424/
3 26 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_31_071950/
3 26 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_25_12_31_195024/
3 26 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_26_01_01_082106/
4 27 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_26_01_01_205212/
3 28 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_26_01_02_092250/
4 28 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_26_01_03_050711/
3 27 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_26_01_03_173730/
0 24 /scratch2/10281/guoyuheng/bh_disk_sol_32/h5data/3d_data_26_01_04_060839/
